"Team","Goals","Shots on target","Shots off target","Shooting Accuracy","Goals-to-shots (perc)","Total shots (inc. Blocked)","Hit Woodwork","Penalty goals","Penalties not scored","Headed goals","Passes","Passes completed","Passing Accuracy","Touches","Crosses","Dribbles","Corners Taken","Tackles","Clearances","Interceptions","Clearances off line","Clean Sheets","Blocks","Goals conceded","Saves made","Saves-to-shots ratio","Fouls Won","Fouls Conceded","Offsides","Yellow Cards","Red Cards","Subs on","Subs off","Players Used"
"Croatia",4,13,12,0.519,0.16,32,0,0,0,2,1076,828,0.769,1706,60,42,14,49,83,56,,0,10,3,13,0.813,41,62,2,9,0,9,9,16
"Czech Republic",4,13,18,0.419,0.129,39,0,0,0,0,1565,1223,0.781,2358,46,68,21,62,98,37,2,1,10,6,9,0.601,53,73,8,7,0,11,11,19
"Denmark",4,10,10,0.5,0.2,27,1,0,0,3,1298,1082,0.833,1873,43,32,16,40,61,59,0,1,10,5,10,0.667,25,38,8,4,0,7,7,15
"England",5,11,18,0.5,0.172,40,0,0,0,3,1488,1200,0.806,2440,58,60,16,86,106,72,1,2,29,3,22,0.881,43,45,6,5,0,11,11,16
"France",3,22,24,0.379,0.065,65,1,0,0,0,2066,1803,0.872,2909,55,76,28,71,76,58,0,1,7,5,6,0.546,36,51,5,6,0,11,11,19
"Germany",10,32,32,0.478,0.156,80,2,1,0,2,2774,2427,0.874,3761,101,60,35,91,73,69,0,1,11,6,10,0.626,63,49,12,4,0,15,15,17
"Greece",5,8,18,0.307,0.192,32,1,1,1,0,1187,911,0.767,2016,52,53,10,65,123,87,0,1,23,7,13,0.651,67,48,12,9,1,12,12,20
"Italy",6,34,45,0.43,0.075,110,2,0,0,2,3016,2531,0.839,4363,75,75,30,98,137,136,1,2,18,7,20,0.741,101,89,16,16,0,18,18,19
"Netherlands",2,12,36,0.25,0.041,60,2,0,0,0,1556,1381,0.887,2163,50,49,22,34,41,41,0,0,9,5,12,0.706,35,30,3,5,0,7,7,15
"Poland",2,15,23,0.394,0.052,48,0,0,0,1,1059,852,0.804,1724,55,39,14,67,87,62,0,0,8,3,6,0.667,48,56,3,7,1,7,7,17
"Portugal",6,22,42,0.343,0.093,82,6,0,0,2,1891,1461,0.772,2958,91,64,41,78,92,86,0,2,11,4,10,0.715,73,90,10,12,0,14,14,16
"Republic of Ireland",1,7,12,0.368,0.052,28,0,0,0,1,851,606,0.712,1433,43,18,8,45,78,43,1,0,23,9,17,0.654,43,51,11,6,1,10,10,17
"Russia",5,9,31,0.225,0.125,59,2,0,0,1,1602,1345,0.839,2278,40,40,21,65,74,58,0,0,8,3,10,0.77,34,43,4,6,0,7,7,16
"Spain",12,42,33,0.559,0.16,100,0,1,0,2,4317,3820,0.884,5585,69,106,44,122,102,79,0,5,8,1,15,0.938,102,83,19,11,0,17,17,18
"Sweden",5,17,19,0.472,0.138,39,3,0,0,1,1192,965,0.809,1806,44,29,7,56,54,45,0,1,12,5,8,0.616,35,51,7,7,0,9,9,18
"Ukraine",2,7,26,0.212,0.06,38,0,0,0,2,1276,1043,0.817,1894,33,26,18,65,97,29,0,0,4,4,13,0.765,48,31,4,5,0,9,9,18
